# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H30,300-399,4/2/2017,07,1,Robbery,"Road, Street, or Sidewalk",CHARTRES,-,ST
1,10H30,3600-3699,4/1/2017,02,1,Burglary,Miscellaneous Business (Non-Specific),POLK,-,-
1,10H30,2000-2099,4/1/2017,06,1,Theft,Bar or Night Club,LEELAND,-,-
1,10H30,1100-1199,4/3/2017,22,1,Theft,Commercial Parking Lot or Garage,CHARTRES,-,ST
1,10H30,1200-1299,4/3/2017,22,1,Theft,Commercial Parking Lot or Garage,SAINT EMANUEL,-,ST
1,10H30,500-599,4/3/2017,22,1,Auto Theft,Commercial Parking Lot or Garage,CHARTRES,-,ST
1,10H30,900-999,4/4/2017,07,1,Theft,Commercial Parking Lot or Garage,SAINT EMANUEL,-,ST
1,10H30,1000-1099,4/4/2017,13,1,Auto Theft,"Other, Unknown, or Not Listed",DOWLING,-,ST
1,10H30,3500-3599,4/4/2017,13,1,Theft,Service or Gas Station,GULF,-,FWY
1,10H30,1700-1799,4/7/2017,10,1,Theft,"Road, Street, or Sidewalk",LIVE OAK,-,-
1,10H30,3400-3499,4/7/2017,13,1,Auto Theft,Residence or House,LEELAND,-,-
1,10H30,1100-1199,4/6/2017,22,1,Theft,"Road, Street, or Sidewalk",DELANO,-,-
1,10H30,1200-1299,4/6/2017,14,1,Theft,"Road, Street, or Sidewalk",SAINT EMANUEL,-,ST
1,10H30,1500-1599,4/8/2017,00,1,Theft,Bar or Night Club,SAINT EMANUEL,-,ST
1,10H30,900-999,4/8/2017,23,1,Robbery,"Road, Street, or Sidewalk",BASTROP,-,ST
1,10H30,2700-2799,4/23/2017,21,1,Theft,"Road, Street, or Sidewalk",DALLAS,-,ST
1,10H30,2800-2899,4/26/2017,23,1,Theft,"Road, Street, or Sidewalk",DALLAS,-,ST
1,10H30,2600-2699,4/28/2017,15,1,Theft,"Road, Street, or Sidewalk",MCKINNEY,-,ST
1,10H30,2300-2399,4/28/2017,11,1,Theft,Apartment Parking Lot,POLK,-,-
1,10H30,2000-2099,4/28/2017,00,1,Theft,"Road, Street, or Sidewalk",LAMAR,-,-
1,10H30,1600-1699,4/26/2017,21,1,Theft,Construction Site,SAMPSON,-,-
1,10H30,1100-1199,4/26/2017,06,1,Theft,"Road, Street, or Sidewalk",DELANO,-,-
1,10H30,2000-2099,4/26/2017,07,1,Burglary,Bar or Night Club,WALKER,-,ST
1,10H30,1100-1199,4/26/2017,11,1,Theft,"Road, Street, or Sidewalk",DELANO,-,-
1,10H30,3500-3599,4/25/2017,06,1,Theft,Service or Gas Station,GULF,-,FWY
1,10H30,2200-2299,4/25/2017,07,1,Theft,"Road, Street, or Sidewalk",MCKINNEY,-,ST
1,10H30,800-899,4/29/2017,15,1,Theft,Driveway,DELANO,-,-
1,10H30,2300-2399,4/29/2017,08,1,Theft,"Road, Street, or Sidewalk",PEASE,-,ST
1,10H30,400-499,9/5/2016,13,1,Theft,Miscellaneous Business (Non-Specific),DOWLING,-,ST
1,10H30,1600-1699,4/30/2017,07,1,Theft,Other Parking Lot,HUTCHINS,-,-
1,10H30,3500-3599,4/30/2017,14,1,Auto Theft,Convenience Store Parking Lot,GULF,-,FWY
1,10H30,1500-1599,4/30/2017,15,1,Theft,Other Parking Lot,DOWLING,-,ST
1,10H40,1400-1499,4/20/2017,16,1,Theft,"Road, Street, or Sidewalk",ISABELLA,-,-
1,10H40,800-899,4/20/2017,07,1,Theft,"Road, Street, or Sidewalk",WINBERN,-,-
1,10H40,3800-3899,4/20/2017,08,1,Theft,Construction Site,TRAVIS,-,-
1,10H40,4200-4299,4/20/2017,08,1,Theft,Grocery Store or Supermarket,SAN JACINTO,-,ST
1,10H40,2600-2699,4/19/2017,22,1,Theft,Restaurant or Cafeteria Parking Lot,FANNIN,-,ST
1,10H40,2400-2499,4/19/2017,16,1,Theft,Miscellaneous Business (Non-Specific),CAROLINE,-,ST
1,10H40,4500-4599,4/18/2017,20,1,Robbery,Bus Station,MAIN,-,ST
1,10H40,800-899,4/18/2017,23,1,Theft,"Road, Street, or Sidewalk",WINBERN,-,-
1,10H40,2100-2199,4/19/2017,11,1,Theft,Bus Stop,MAIN,-,ST
1,10H40,2400-2499,4/16/2017,17,1,Theft,Other Parking Lot,SAN JACINTO,-,ST
1,10H40,2100-2199,4/16/2017,17,1,Robbery,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,3600-3699,4/16/2017,11,1,Theft,Other Parking Lot,MILAM,-,-
1,10H40,1300-1399,4/16/2017,12,1,Robbery,"Road, Street, or Sidewalk",GRAY,-,ST
1,10H40,2700-2799,4/16/2017,07,1,Burglary,,TRAVIS,-,-
