Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,2000-2099,12/13/2017,10,1,Theft,1,"Road, Street, or Sidewalk",WALKER ST,-,ST
10H30,1500-1599,12/15/2017,23,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,2100-2199,12/16/2017,22,1,Theft,1,Bar or Night Club Parking Lot,POLK,-,-
10H30,1500-1599,12/17/2017,01,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,3300-3399,12/17/2017,16,1,Theft,1,Bar or Night Club Parking Lot,EARL,-,ST
10H30,1200-1299,12/19/2017,15,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS,-,ST
10H30,700-799,12/19/2017,16,1,Theft,1,"Road, Street, or Sidewalk",LIVE OAK,-,-
10H30,2500-2599,12/19/2017,08,1,Theft,1,"Road, Street, or Sidewalk",CAPITOL ST,-,ST
10H30,2300-2399,12/19/2017,06,1,Theft,1,Apartment Parking Lot,POLK,-,-
10H30,800-899,12/19/2017,06,1,Theft,1,"Road, Street, or Sidewalk",ENNIS ST,-,ST
10H30,800-899,12/20/2017,23,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,29900-29999,12/20/2017,21,1,Theft,1,"Road, Street, or Sidewalk",ADOBE FALLS DRIVE,-,-
10H30,7400-7499,12/21/2017,22,1,AutoTheft,1,"Road, Street, or Sidewalk",HARWIN,-,DR
10H30,1300-1399,12/23/2017,02,1,Theft,1,Other Parking Lot,PO BOX 645,-,-
10H30,2800-2899,12/23/2017,08,1,Theft,1,"Road, Street, or Sidewalk",CLAY ST,-,ST
10H30,1600-1699,12/24/2017,02,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS ST,-,ST
10H30,1600-1699,12/24/2017,00,1,Theft,1,Other Parking Lot,CHERRY RIDGE,-,DR
10H30,2000-2099,12/24/2017,16,1,Theft,1,Restaurant or Cafeteria Parking Lot,COMMERCE ST,-,ST
10H30,14800-14899,12/24/2017,18,1,Theft,1,"Road, Street, or Sidewalk",FM 279,-,-
10H30,400-499,12/26/2017,10,1,Theft,1,"Other, Unknown, or Not Listed",EMANCIPATION AVE,-,-
