Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H50,3500-3599,08/09/2017,10,1,Theft,1,Residence or House,SAINT EMANUEL ST,-,ST
10H50,2800-2899,08/09/2017,11,1,AutoTheft,1,"Field, Woods, Forest, Park",MCGREGOR,S,WAY
10H50,3000-3099,08/11/2017,15,1,Theft,1,"Other, Unknown, or Not Listed",MCGOWEN ST,-,ST
10H50,2000-2099,08/12/2017,02,1,AutoTheft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H50,2400-2499,08/12/2017,23,1,Theft,1,Construction Site,TRUXILLO,-,-
10H50,3000-3099,08/13/2017,17,1,Theft,1,"Road, Street, or Sidewalk",SAMPSON,-,-
10H50,2900-2999,08/13/2017,13,1,Theft,1,Residence or House,SAUER,-,-
10H50,3900-3999,08/14/2017,07,1,Theft,1,"Road, Street, or Sidewalk",SCOTT,-,ST
10H50,600-699,08/14/2017,09,1,Theft,1,Residence or House,WALKER,-,ST
10H50,2600-2699,08/14/2017,19,1,Robbery,1,"Hotel, Motel, Inn, Etc.",CALUMET,-,CT
10H50,3500-3599,08/14/2017,18,1,Robbery,1,"Road, Street, or Sidewalk",ELGIN ST,-,ST
10H50,3200-3299,08/15/2017,23,1,Robbery,1,Residence or House,DELANO,-,-
10H50,19500-19599,08/16/2017,10,1,Theft,1,"Road, Street, or Sidewalk",NORTH OBLONG CIRCLE,-,-
10H50,3000-3099,08/16/2017,21,1,Burglary,1,Residence or House,WEBSTER ST,-,ST
10H50,9100-9199,08/17/2017,00,1,Robbery,1,Convenience Store,PARKETTE,-,DR
10H50,2500-2599,08/17/2017,08,1,Robbery,1,"Road, Street, or Sidewalk",LAZY HOLLOW,-,DR
10H50,6000-6099,08/18/2017,08,1,Robbery,1,Restaurant or Cafeteria,WESTVIEW,-,DR
10H50,2600-2699,08/19/2017,12,1,Theft,1,Driveway,ALABAMA ST,-,ST
10H50,2400-2499,08/19/2017,02,1,Theft,1,"Road, Street, or Sidewalk",GRAY ST,-,ST
10H50,2000-2099,08/20/2017,09,1,Theft,1,Driveway,ALABAMA ST,-,ST
10H50,2300-2399,08/20/2017,10,1,Theft,1,"Road, Street, or Sidewalk",DENNIS ST,-,ST
10H50,400-499,08/22/2017,12,1,Theft,1,"Road, Street, or Sidewalk",VELASCO,N,ST
10H50,3700-3799,08/22/2017,02,1,Robbery,1,"Road, Street, or Sidewalk",DREYFUS,-,-
10H50,4800-4899,08/23/2017,12,1,Theft,1,"Road, Street, or Sidewalk",CALHOUN RD,-,RD
10H50,2400-2499,08/23/2017,15,1,Theft,1,Driveway,ALABAMA ST,-,ST
10H50,3900-3999,08/23/2017,16,1,AutoTheft,1,"Road, Street, or Sidewalk",DELANO,-,-
10H50,2200-2299,08/23/2017,16,1,Burglary,1,Residence or House,ALABAMA ST,-,ST
10H50,3200-3299,08/23/2017,07,1,Burglary,1,"Vacant Single Occ Resd(House,Townhs,Dplex)",DREW,-,ST
10H50,3500-3599,08/23/2017,08,1,Robbery,1,"Road, Street, or Sidewalk",GULF FWY OB,-,-
10H50,4500-4599,08/24/2017,10,1,Burglary,1,Apartment,WINDY HOLLOW,-,-
10H50,2300-2399,08/25/2017,08,1,Theft,1,"Road, Street, or Sidewalk",HADLEY ST,-,ST
10H50,2300-2399,08/25/2017,07,1,Theft,1,"Road, Street, or Sidewalk",HADLEY,-,ST
10H50,3700-3799,08/26/2017,05,1,Burglary,1,Restaurant or Cafeteria Parking Lot,SCOTT,-,ST
10H50,2200-2299,08/26/2017,12,1,Theft,1,Garage or Carport,ISABELLA,-,-
10H50,7300-7399,08/26/2017,20,1,Robbery,1,Residence or House,WAYSIDE ST APT 502,N,-
10H50,3700-3799,08/28/2017,23,1,Burglary,1,Liquor Store,EMANCIPATION,-,-
10H50,3600-3699,08/29/2017,14,1,AutoTheft,1,University or College,TIERWESTER,-,-
10H50,2300-2399,08/31/2017,08,1,Theft,1,Residence or House,TRUXILLO,-,-
10H50,3100-3199,08/31/2017,18,1,Robbery,1,"Parks and Recreation, Zoo, Swimming Pool",TRULLEY,-,-
10H60,2600-2699,08/01/2017,23,1,AutoTheft,1,Apartment Parking Lot,SOUTHMORE,-,-
10H60,4400-4499,08/01/2017,10,1,Theft,1,Commercial Parking Lot or Garage,N MACGREGOR WAY,-,-
10H60,5100-5199,08/01/2017,12,1,Robbery,1,Apartment,EMANCIPATION AVE,-,-
10H60,3000-3099,08/01/2017,04,1,Burglary,1,"Physician, Doctor, Dentist's Office",BLODGETT ST,-,ST
10H60,2400-2499,08/02/2017,09,1,Theft,1,Apartment Parking Lot,SOUTHMORE BLVD,-,BLVD
10H60,5200-5299,08/02/2017,14,1,Theft,1,Other Parking Lot,CALHOUN RD,-,RD
10H60,10300-10399,08/03/2017,20,1,Theft,1,"Road, Street, or Sidewalk",WILCREST,-,ST
10H60,1100-1199,08/04/2017,23,1,Theft,1,"Road, Street, or Sidewalk",TONYA LYNN DRIVE,-,-
