Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,1700-1799,06/25/2017,09,1,Theft,1,Apartment,ADEN DR,-,-
10H30,2000-2099,06/25/2017,08,1,Theft,1,"Road, Street, or Sidewalk",LEELAND,-,-
10H30,1000-1099,06/25/2017,18,1,Theft,1,Other Parking Lot,HUTCHINS ST,-,ST
10H30,1300-1399,06/25/2017,23,1,Burglary,1,Residence or House,DELANO,-,ST
10H30,2200-2299,06/26/2017,09,1,Theft,1,Light Rail Platform,TEXAS AVE,-,-
10H30,6500-6599,06/26/2017,16,1,Theft,1,"Road, Street, or Sidewalk",LOCH LANGHAM,-,DR
10H30,3500-3599,06/28/2017,16,1,Theft,1,Service or Gas Station,GULF,-,FWY
10H30,1500-1599,06/29/2017,16,1,Theft,1,Other Parking Lot,20TH AVE.,-,-
10H30,2200-2299,06/30/2017,11,1,Theft,1,"Road, Street, or Sidewalk",DALLAS ST,-,ST
10H30,1200-1299,06/30/2017,16,1,Theft,1,Other Parking Lot,SAINT EMANUEL ST,-,ST
10H40,2200-2299,06/01/2017,21,1,Burglary,1,Residence or House,BALDWIN ST.,-,-
10H40,2300-2399,06/01/2017,05,1,Theft,1,Apartment Parking Lot,MILAM,-,-
10H40,2600-2699,06/01/2017,06,1,Theft,1,Residence or House,LOUISIANA ST,-,ST
10H40,2300-2399,06/01/2017,08,1,AutoTheft,1,Apartment Parking Lot,MAIN ST OB,-,-
10H40,2300-2399,06/01/2017,08,1,Theft,1,Residence or House,MAIN ST OB,-,-
10H40,3700-3799,06/01/2017,08,1,Theft,1,Restaurant or Cafeteria Parking Lot,TRAVIS,-,-
10H40,700-799,06/02/2017,14,1,Theft,1,Apartment Parking Lot,MCGOWEN ST,-,ST
10H40,5500-5599,06/02/2017,14,1,Theft,1,Restaurant or Cafeteria Parking Lot,HICKORY HARVEST,-,ST
10H40,2400-2499,06/02/2017,07,1,Theft,1,Apartment Parking Lot,MILAM,-,-
10H40,1700-1799,06/02/2017,07,1,Theft,1,"Road, Street, or Sidewalk",WEBSTER ST,-,ST
10H40,3300-3399,06/02/2017,07,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,2300-2399,06/02/2017,08,1,Theft,1,Residence or House,LOUISIANA ST,-,ST
10H40,14200-14299,06/03/2017,14,1,Theft,1,"Other, Unknown, or Not Listed",BONHAM OAKS LANE,-,-
10H40,2200-2299,06/03/2017,12,1,Theft,1,Grocery Store or Supermarket,LOUISIANA,-,ST
10H40,900-999,06/03/2017,00,1,Theft,1,"Road, Street, or Sidewalk",BAYOU PARKWAY,-,-
10H40,6300-6399,06/04/2017,10,1,Theft,1,Convenience Store,BEVERLY HILL,-,-
10H40,3200-3299,06/04/2017,20,1,Theft,2,Garage or Carport,LOUISIANA ST,-,ST
10H40,1800-1899,06/04/2017,15,1,Theft,1,Commercial Parking Lot or Garage,MCILHENNY ST,-,ST
10H40,2100-2199,06/05/2017,01,1,Robbery,1,Service or Gas Station,MAIN ST IB,-,-
10H40,1500-1599,06/05/2017,13,1,Theft,1,Other Parking Lot,ISABELLA,-,-
10H40,2700-2799,06/05/2017,08,1,Theft,1,Apartment,TRAVIS,-,-
10H40,700-799,06/05/2017,09,1,Theft,1,Apartment Parking Lot,LOUSIANNA,-,ST
10H40,2700-2799,06/05/2017,23,1,Theft,1,Apartment,TRAVIS,-,-
10H40,2700-2799,06/05/2017,20,1,Theft,1,Apartment,TRAVIS,-,-
10H40,6400-6499,06/05/2017,19,1,Theft,1,University or College,FANNIN,-,-
10H40,2700-2799,06/05/2017,14,1,Theft,1,Garage or Carport,TRAVIS ST,-,ST
10H40,2300-2399,06/06/2017,06,1,Burglary,1,Bar or Night Club,HOMELESS,-,-
10H40,2500-2599,06/06/2017,19,1,Theft,1,Apartment Parking Lot,LOUISIANA ST,-,ST
10H40,1100-1199,06/06/2017,11,1,Theft,1,Apartment Parking Lot,MCILHENNY ST,-,ST
10H40,1700-1799,06/06/2017,12,1,AutoTheft,1,"Road, Street, or Sidewalk",DENNIS ST,-,ST
10H40,6500-6599,06/06/2017,14,1,Theft,1,"Physician, Doctor, Dentist's Office",LOOP,W,-
10H40,2200-2299,06/06/2017,15,1,Robbery,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,2200-2299,06/07/2017,10,1,Theft,1,Grocery Store or Supermarket,LOUISIANA,-,ST
10H40,3200-3299,06/07/2017,13,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",LOUISIANA ST,-,ST
10H40,3200-3299,06/07/2017,16,1,Theft,1,Restaurant or Cafeteria,LOUISIANA ST,-,ST
10H40,3600-3699,06/07/2017,18,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
10H40,1900-1999,06/07/2017,19,1,Theft,1,Commercial Parking Lot or Garage,CLAYTON,-,DR
10H40,3400-3499,06/08/2017,10,1,Theft,1,Miscellaneous Business (Non-Specific),FANNIN ST,-,ST
10H40,3300-3399,06/09/2017,22,1,Theft,1,"Road, Street, or Sidewalk",BRANARD APT 15,-,-
10H40,1800-1899,06/10/2017,07,1,Theft,1,"Road, Street, or Sidewalk",ROSALIE STREET,-,-
