# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,12D30,13300-13399,1/14/2017,14,1,Burglary,Residence or House,BABBITT,-,ST
1,12D30,11500-11599,1/13/2017,16,1,Theft,"Road, Street, or Sidewalk",FUQUA,-,ST
1,12D30,11700-11799,1/11/2017,20,1,Theft,Apartment Parking Lot,FUQUA,-,ST
1,12D30,11700-11799,1/11/2017,19,1,Robbery,Apartment,FUQUA,-,ST
1,12D30,4400-4499,1/12/2017,18,1,Burglary,Apartment,SHAVER,S,ST
1,12D30,10200-10299,1/13/2017,12,1,Theft,Residence or House,PALM LAKE,E,DR
1,12D30,12800-12899,1/13/2017,10,1,Auto Theft,"Road, Street, or Sidewalk",ROYDON,-,DR
1,12D40,13700-13799,1/29/2017,08,1,Theft,Bus Stop,BEAMER,-,RD
2,12D40,11800-11899,1/28/2017,18,1,Auto Theft,Hospital Parking Lot,ASTORIA,-,BLVD
1,12D40,11800-11899,1/25/2017,22,1,Theft,Apartment Parking Lot,ALGONQUIN,-,DR
1,12D40,14300-14399,1/22/2017,13,1,Theft,Service or Gas Station,GULF,-,FWY
1,12D40,12400-12499,1/24/2017,11,1,Theft,Auto Repair,GALVESTON,-,RD
1,12D40,700-799,1/25/2017,09,1,Auto Theft,Private School,FM 1959,-,RD
1,12D40,15700-15799,1/25/2017,19,1,Auto Theft,Police Station,GULF,-,FWY
1,12D40,11800-11899,1/3/2017,07,1,Theft,Apartment Parking Lot,ALGONQUIN,-,DR
1,12D40,12100-12199,1/4/2017,13,1,Theft,Construction Site,RHINEBECK,-,DR
1,12D40,15300-15399,1/7/2017,08,1,Theft,Residence or House,GULF,-,FWY
1,12D40,15600-15699,1/7/2017,11,1,Burglary,Apartment,GULF,-,FWY
1,12D40,5400-5499,1/8/2017,10,1,Theft,Service or Gas Station,SAM HOUSTON,E,PKWY
1,12D40,11700-11799,1/6/2017,16,1,Theft,Residence or House,FLUSHING MEADOWS,-,DR
1,12D40,11700-11799,1/6/2017,19,1,Auto Theft,Apartment Parking Lot,ALGONQUIN,-,DR
1,12D40,900-999,1/11/2017,14,1,Theft,Apartment Parking Lot,FM 1959,-,RD
1,12D40,900-999,1/9/2017,09,1,Theft,Apartment Parking Lot,FM 1959,-,RD
1,12D40,11800-11899,1/9/2017,23,1,Theft,,ASTORIA,-,BLVD
1,12D40,900-999,1/10/2017,04,1,Auto Theft,Apartment Parking Lot,FM 1959,-,RD
1,12D40,11500-11599,1/10/2017,09,1,Theft,Restaurant or Cafeteria Parking Lot,SPACE CENTER,-,BLVD
1,12D40,15300-15399,1/11/2017,17,1,Theft,"Hotel, Motel, Inn, Etc.",GULF,-,FWY
1,12D40,12100-12199,1/12/2016,20,1,Burglary,Residence or House,WESSEX,-,DR
1,12D40,12100-12199,1/12/2017,07,1,Theft,Driveway,POMPTON,-,DR
1,12D40,600-699,1/16/2017,12,1,Auto Theft,Residence or House,LEICESTER,-,LN
1,12D40,11900-11999,1/17/2017,15,1,Theft,"Other, Unknown, or Not Listed",ASTORIA,-,BLVD
1,12D40,11800-11899,1/21/2017,18,1,Theft,"Other, Unknown, or Not Listed",ALGONQUIN,-,DR
1,12D40,11800-11899,12/16/2016,12,1,Burglary,Apartment,ALGONQUIN,-,DR
1,12D40,700-799,12/24/2016,17,1,Burglary,Apartment,FM 1959,-,RD
1,12D40,1200-1299,12/30/2016,09,1,Burglary,Maintenance or Building Services,GENOA RED BLUFF,-,RD
1,12D50,800-899,1/26/2017,12,1,Burglary,Residence or House,ISLAND MEADOW,-,CT
1,12D50,14500-14599,1/31/2017,16,1,Theft,Residence or House,CIRCLEWOOD,-,WAY
1,12D50,2400-2499,1/10/2017,03,1,Burglary,Service or Gas Station,BAY AREA,-,BLVD
1,12D50,13800-13899,1/5/2017,09,1,Theft,Construction Site,TRAVIS HEIGHTS,-,LN
1,12D50,14100-14199,1/8/2017,11,1,Burglary,Rental Storage Facility,BAY POINTE,-,CT
1,12D50,14100-14199,1/7/2017,17,1,Burglary,Rental Storage Facility,BAY POINTE,-,CT
1,12D50,16100-16199,1/4/2017,14,1,Theft,Grocery Store or Supermarket Parking Lot,SPACE CENTER,-,BLVD
