Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H40,2000-2099,09/03/2017,11,1,AutoTheft,1,"Church, Synagogue, or Temple Parking Lot",P.O. BOX 52250,-,-
10H40,1400-1499,09/04/2017,17,1,Theft,1,Residence or House,MCILHENNY ST,-,ST
10H40,4200-4299,09/05/2017,04,1,Burglary,1,Grocery Store or Supermarket,SAN JACINTO,-,ST
10H40,2800-2899,09/06/2017,19,1,Theft,1,Restaurant or Cafeteria,MILAM,-,-
10H40,2200-2299,09/06/2017,13,1,Burglary,1,Apartment,AUSTIN,-,ST
10H40,100-199,09/06/2017,10,1,Theft,1,"Road, Street, or Sidewalk",S US 59 FWY OB,-,-
10H40,3200-3299,09/07/2017,10,1,Theft,1,Other Parking Lot,LOUISIANA ST,-,ST
10H40,2100-2199,09/07/2017,19,1,Theft,1,Bus Station,MAIN ST,-,ST
10H40,3400-3499,09/08/2017,02,1,Robbery,1,"Road, Street, or Sidewalk",FANNIN,-,ST
10H40,4500-4599,09/09/2017,19,1,Theft,1,Light Rail Platform,FANNIN ST,-,ST
10H40,2100-2199,09/09/2017,15,1,Theft,1,Bus Station,MAIN ST,-,ST
10H40,21000-21099,09/10/2017,01,1,Theft,1,"Road, Street, or Sidewalk",JESSICA ROSE,-,LN
10H40,15800-15899,09/10/2017,03,1,Theft,1,"Road, Street, or Sidewalk",JERSEY,-,DR
10H40,2200-2299,09/10/2017,23,1,Theft,1,Grocery Store or Supermarket,LOUISIANA,-,ST
10H40,2400-2499,09/10/2017,14,1,Theft,1,Bar or Night Club,SAN JACINTO,-,-
10H40,1300-1399,09/10/2017,14,1,Theft,1,Residence or House,MALONE,-,ST
10H40,500-599,09/10/2017,10,1,Theft,1,Other Parking Lot,SOUTHWEST FWY,-,-
10H40,4200-4299,09/11/2017,10,1,Theft,1,Grocery Store or Supermarket,SAN JACINTO,-,ST
10H40,1100-1199,09/11/2017,10,1,Theft,1,"Road, Street, or Sidewalk",MCILHENNY ST,-,ST
10H40,4200-4299,09/11/2017,13,1,Theft,1,Grocery Store or Supermarket Parking Lot,SAN JACINTO ST,-,ST
10H40,3800-3899,09/13/2017,09,1,Theft,1,"Road, Street, or Sidewalk",ALMEDA RD,-,RD
10H40,13800-13899,09/13/2017,17,1,Theft,1,"Road, Street, or Sidewalk",SUNSET VIEW,-,DR
10H40,2900-2999,09/14/2017,09,1,Theft,1,Miscellaneous Business (Non-Specific),MAIN,-,ST
10H40,2800-2899,09/14/2017,07,1,Burglary,1,Condominium,AUSTIN STREET,-,-
10H40,3200-3299,09/14/2017,14,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,3800-3899,09/14/2017,21,1,Theft,1,"Road, Street, or Sidewalk",LA BRANCH,-,-
10H40,1000-1099,09/14/2017,22,1,Theft,1,"Road, Street, or Sidewalk",WINBERN,-,-
10H40,15700-15799,09/15/2017,16,1,Theft,1,"Road, Street, or Sidewalk",STONEHAVEN,-,DR
10H40,2200-2299,09/15/2017,15,1,Theft,1,Driveway,LA BRANCH,-,-
10H40,2300-2399,09/15/2017,11,1,Theft,1,Apartment Parking Lot,MAIN ST,-,ST
10H40,3800-3899,09/15/2017,09,1,Theft,1,Residence or House,SAN JACINTO,-,ST
10H40,900-999,09/15/2017,05,1,AutoTheft,1,"Road, Street, or Sidewalk",ALABAMA ST,-,ST
10H40,2200-2299,09/15/2017,08,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,3900-3999,09/15/2017,20,1,Theft,1,"Road, Street, or Sidewalk",LA BRANCH,-,-
10H40,3700-3799,09/15/2017,21,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
10H40,4200-4299,09/16/2017,11,1,Robbery,1,Department or Discount Store,MAIN,-,ST
10H40,2300-2399,09/16/2017,12,1,Theft,1,Bar or Night Club,MAIN ST,-,ST
10H40,1400-1499,09/16/2017,20,1,Theft,1,Residence or House,ISABELLA,-,-
10H40,20700-20799,09/16/2017,23,1,Theft,1,"Road, Street, or Sidewalk",RUBBLE LANE,-,-
10H40,900-999,09/17/2017,00,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,4000-4099,09/17/2017,00,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST 4621,-,-
10H40,1400-1499,09/17/2017,02,1,Theft,1,"Road, Street, or Sidewalk",TAHOE VALLEY,-,LN
10H40,2200-2299,09/17/2017,04,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,1200-1299,09/17/2017,18,1,AutoTheft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,2400-2499,09/17/2017,18,1,Theft,1,Hospital,FANNIN ST,-,ST
10H40,3600-3699,09/17/2017,13,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,2900-2999,09/19/2017,08,1,Robbery,1,"Road, Street, or Sidewalk",CHENEVERT ST,-,ST
10H40,2200-2299,09/19/2017,11,1,AutoTheft,1,Commercial Parking Lot or Garage,MAIN ST,-,ST
10H40,1000-1099,09/20/2017,03,1,Theft,1,Service or Gas Station,PRESTON ROAD,-,-
10H40,2100-2199,09/20/2017,05,1,Robbery,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,1100-1199,09/20/2017,18,1,Robbery,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,1300-1399,09/21/2017,05,1,Theft,1,"Road, Street, or Sidewalk",MCILHENNY ST,-,ST
10H40,2200-2299,09/21/2017,10,1,Theft,1,"Road, Street, or Sidewalk",MAIN ST,-,ST
10H40,1300-1399,09/22/2017,10,1,Theft,1,"Other, Unknown, or Not Listed",MCILHENNY ST,-,ST
10H40,2200-2299,09/22/2017,08,1,Burglary,1,Residence or House,LA BRANCH,-,-
10H40,2000-2099,09/22/2017,15,1,Theft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,MILAM,-,-
10H40,4200-4299,09/22/2017,17,1,Robbery,1,Grocery Store or Supermarket,SAN JACINTO,-,ST
10H40,4500-4599,09/23/2017,05,1,AutoTheft,1,"Hotel, Motel, Inn, Etc.",ISFALL PARK PLACE,-,-
10H40,1100-1199,09/23/2017,01,1,Theft,1,Residence or House,MCILHENNY,-,ST
10H40,9400-9499,09/23/2017,01,1,Theft,1,"Road, Street, or Sidewalk",WHITE DIAMOND LANE,-,-
10H40,9200-9299,09/23/2017,23,1,Theft,1,"Road, Street, or Sidewalk",LAKE PARK,-,-
10H40,2200-2299,09/23/2017,17,1,Theft,1,Grocery Store or Supermarket Parking Lot,LOUISIANA ST,-,ST
10H40,700-799,09/23/2017,17,1,Theft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,2500-2599,09/24/2017,02,1,Robbery,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,3500-3599,09/24/2017,11,1,Theft,1,"Road, Street, or Sidewalk",CRAWFORD ST,-,ST
10H40,2500-2599,09/24/2017,18,1,Theft,1,"Road, Street, or Sidewalk",BERRY,-,LN
10H40,3000-3099,09/24/2017,19,1,Robbery,1,"Road, Street, or Sidewalk",SAN JACINTO ST,-,ST
10H40,1400-1499,09/25/2017,06,1,Theft,1,"Road, Street, or Sidewalk",ISABELLA,-,-
10H40,3300-3399,09/25/2017,13,1,Theft,1,Other Parking Lot,GLENHILL,-,CT
10H40,2400-2499,09/25/2017,13,1,Theft,1,"Other, Unknown, or Not Listed",CRAWFORD,-,RD
10H40,3200-3299,09/25/2017,21,1,Theft,1,Residence or House,LA BRANCH,-,-
10H40,1500-1599,09/26/2017,01,1,Theft,1,Residence or House,TRUXILLO,-,-
10H40,2200-2299,09/26/2017,09,1,Theft,1,Garage or Carport,LA BRANCH,-,-
