# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,6B10,7400-7499,3/13/2017,10,1,Robbery,Grocery Store or Supermarket,AIRLINE,-,DR
1,6B10,900-999,3/12/2017,09,1,Auto Theft,Residence or House,MAYFORD,-,-
1,6B10,6600-6699,3/12/2017,05,1,Burglary,Miscellaneous Business (Non-Specific),AIRLINE,-,DR
1,6B10,400-499,3/12/2017,03,1,Theft,Bar or Night Club,LITTLE YORK,-,RD
1,6B10,200-299,3/12/2017,19,1,Auto Theft,Driveway,SCHADE,-,LN
1,6B10,7100-7199,3/12/2017,17,1,Theft,Grocery Store or Supermarket,AIRLINE,-,DR
1,6B10,600-699,3/11/2017,18,1,Theft,Residence or House,DIPPING,-,LN
1,6B10,100-199,3/11/2017,22,1,Theft,"Road, Street, or Sidewalk",SUNNYSIDE,E,ST
1,6B10,7100-7199,3/11/2017,14,1,Theft,Driveway,WERNER,-,ST
1,6B10,800-899,3/11/2017,09,1,Burglary,Residence or House,SUNNYSIDE,E,ST
1,6B10,600-699,3/19/2017,03,1,Robbery,Apartment Parking Lot,LITTLE YORK,E,RD
1,6B10,300-399,3/18/2017,01,1,Theft,Apartment Parking Lot,ROSAMOND,-,-
1,6B10,400-499,3/18/2017,05,1,Burglary,Vehicle/Auto Sales/Lease/Auto Parts Store,LITTLE YORK,W,RD
1,6B10,600-699,3/18/2017,05,1,Robbery,"Road, Street, or Sidewalk",PARKER,E,RD
1,6B10,7100-7199,3/18/2017,11,1,Theft,Grocery Store or Supermarket Parking Lot,NORTH,-,FWY
1,6B10,300-399,3/16/2017,16,1,Theft,"Other, Unknown, or Not Listed",LITTLE YORK,-,RD
1,6B10,10900-10999,3/16/2017,20,1,Theft,"Road, Street, or Sidewalk",NORMEADOW,-,LN
1,6B10,6700-6799,3/16/2017,12,1,Theft,Restaurant or Cafeteria Parking Lot,AIRLINE,-,DR
1,6B10,12600-12699,3/15/2017,16,1,Burglary,Bar or Night Club,HARDY,W,RD
1,6B10,300-399,3/15/2017,10,1,Theft,Residence or House,BRIARCLIFF,-,DR
1,6B10,300-399,3/10/2017,20,1,Robbery,Apartment Parking Lot,LITTLE YORK,W,RD
1,6B10,400-499,3/10/2017,15,1,Auto Theft,Grocery Store or Supermarket Parking Lot,LITTLE YORK,W,RD
1,6B10,800-899,3/10/2017,15,1,Burglary,Residence or House,TIDWELL,-,RD
1,6B10,200-299,3/10/2017,18,1,Robbery,"Road, Street, or Sidewalk",RITTENHOUSE,-,ST
1,6B10,10900-10999,3/9/2017,08,1,Theft,Residence or House,VISTA NORTE,-,CT
1,6B10,7600-7699,3/9/2017,10,1,Burglary,Strip Business Center Parking Lot,AIRLINE,-,DR
1,6B10,6200-6299,3/9/2017,14,1,Theft,"Other, Unknown, or Not Listed",NORTHLINE,-,DR
1,6B10,500-599,3/9/2017,06,1,Theft,Driveway,CRESLINE,-,ST
1,6B10,600-699,3/8/2017,21,1,Burglary,Residence or House,SUNNYSIDE,E,ST
1,6B10,7400-7499,3/8/2017,21,1,Robbery,Grocery Store or Supermarket,AIRLINE,-,DR
1,6B10,800-899,3/5/2017,08,1,Burglary,Residence or House,SUNNYSIDE,E,ST
1,6B10,500-599,3/5/2017,02,1,Theft,Bar or Night Club Parking Lot,LITTLE YORK,-,RD
1,6B10,6200-6299,3/5/2017,21,1,Robbery,"Road, Street, or Sidewalk",NORDLING,-,RD
1,6B10,7400-7499,3/3/2017,19,1,Robbery,Grocery Store or Supermarket,AIRLINE,-,DR
1,6B10,7300-7399,3/3/2017,20,1,Burglary,Apartment,NORTHLINE,-,DR
