Date,Number of Records,Primary Type
6/16/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
6/17/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
6/18/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
6/19/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
6/19/2017 5:00:00 AM,1,MOTOR VEHICLE THEFT
6/20/2017 8:30:00 PM,1,MOTOR VEHICLE THEFT
6/21/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
6/25/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
6/27/2017 11:45:00 AM,1,MOTOR VEHICLE THEFT
6/28/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
6/29/2017 12:05:00 AM,1,MOTOR VEHICLE THEFT
6/29/2017 11:00:00 AM,1,MOTOR VEHICLE THEFT
6/29/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
7/3/2017 9:15:00 AM,1,MOTOR VEHICLE THEFT
7/5/2017 5:30:00 PM,1,MOTOR VEHICLE THEFT
7/5/2017 11:45:00 PM,1,MOTOR VEHICLE THEFT
7/10/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
7/11/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
7/13/2017 1:30:00 PM,1,MOTOR VEHICLE THEFT
7/14/2017 3:00:00 AM,1,MOTOR VEHICLE THEFT
7/14/2017 6:30:00 AM,1,MOTOR VEHICLE THEFT
7/16/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
7/20/2017 3:23:00 PM,1,MOTOR VEHICLE THEFT
7/26/2017 10:30:00 PM,1,MOTOR VEHICLE THEFT
7/27/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
7/28/2017 7:50:00 PM,1,MOTOR VEHICLE THEFT
7/30/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
8/1/2017 9:10:00 PM,1,MOTOR VEHICLE THEFT
8/2/2017 8:03:00 PM,1,MOTOR VEHICLE THEFT
8/2/2017 9:16:00 PM,1,MOTOR VEHICLE THEFT
8/2/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
8/6/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
8/15/2017 12:55:00 AM,1,MOTOR VEHICLE THEFT
8/15/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
8/19/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
8/21/2017 8:25:00 AM,1,MOTOR VEHICLE THEFT
8/24/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
8/26/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
8/31/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
8/31/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
9/6/2017 5:40:00 AM,1,MOTOR VEHICLE THEFT
9/8/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
9/9/2017 8:50:00 AM,1,MOTOR VEHICLE THEFT
9/15/2017 12:30:00 AM,1,MOTOR VEHICLE THEFT
9/15/2017 9:00:00 AM,1,MOTOR VEHICLE THEFT
9/17/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
9/19/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
9/23/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
9/30/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
10/1/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
10/3/2017 8:08:00 PM,1,MOTOR VEHICLE THEFT
10/6/2017 3:30:00 AM,1,MOTOR VEHICLE THEFT
10/8/2017 6:35:00 PM,1,MOTOR VEHICLE THEFT
10/13/2017 1:03:00 PM,1,MOTOR VEHICLE THEFT
10/13/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
10/14/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
10/16/2017 1:09:00 PM,1,MOTOR VEHICLE THEFT
10/16/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
10/25/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
10/26/2017 7:50:00 AM,1,MOTOR VEHICLE THEFT
10/27/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
10/27/2017 7:45:00 PM,1,MOTOR VEHICLE THEFT
10/27/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
10/31/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
11/3/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
11/4/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
11/4/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
11/5/2017 5:32:00 PM,1,MOTOR VEHICLE THEFT
11/7/2017 5:20:00 AM,1,MOTOR VEHICLE THEFT
11/9/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
11/14/2017 6:00:00 AM,1,MOTOR VEHICLE THEFT
11/16/2017 7:15:00 AM,1,MOTOR VEHICLE THEFT
11/19/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
11/19/2017 5:02:00 PM,1,MOTOR VEHICLE THEFT
11/21/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
11/21/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
11/21/2017 10:25:00 PM,1,MOTOR VEHICLE THEFT
11/23/2017 4:45:00 PM,1,MOTOR VEHICLE THEFT
11/24/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
11/24/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
11/26/2017 4:00:00 AM,1,MOTOR VEHICLE THEFT
11/26/2017 10:30:00 PM,1,MOTOR VEHICLE THEFT
11/27/2017 7:00:00 AM,1,MOTOR VEHICLE THEFT
11/27/2017 8:45:00 PM,1,MOTOR VEHICLE THEFT
12/1/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
12/1/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
12/27/2017 8:49:00 PM,1,MOTOR VEHICLE THEFT
10/17/2017 10:27:00 AM,1,MOTOR VEHICLE THEFT
1/1/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/1/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
1/1/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
1/1/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
1/2/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/2/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/2/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
1/3/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
1/5/2017 1:22:00 PM,1,MOTOR VEHICLE THEFT
1/5/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
1/7/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/7/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/7/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/8/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
1/9/2017 1:30:00 AM,1,MOTOR VEHICLE THEFT
1/9/2017 5:00:00 AM,1,MOTOR VEHICLE THEFT
1/9/2017 5:45:00 AM,1,MOTOR VEHICLE THEFT
1/9/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 5:30:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 7:30:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 8:30:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 10:15:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 10:56:00 PM,1,MOTOR VEHICLE THEFT
1/9/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 6:25:00 AM,1,MOTOR VEHICLE THEFT
1/10/2017 7:30:00 AM,1,MOTOR VEHICLE THEFT
1/10/2017 7:45:00 AM,1,MOTOR VEHICLE THEFT
1/10/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/10/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 1:15:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 2:30:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 5:55:00 PM,1,MOTOR VEHICLE THEFT
1/10/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 2:17:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 3:00:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 5:55:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 6:50:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 7:40:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 10:11:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 10:30:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 10:50:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 11:30:00 AM,1,MOTOR VEHICLE THEFT
1/11/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 5:05:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 5:40:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 8:12:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 9:20:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
1/11/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
1/12/2017 7:00:00 AM,1,MOTOR VEHICLE THEFT
1/12/2017 7:00:00 AM,1,MOTOR VEHICLE THEFT
1/12/2017 9:50:00 AM,1,MOTOR VEHICLE THEFT
1/12/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
1/12/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
