Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,2200-2299,05/15/2017,15,1,Theft,1,Commercial Building,PRESTON ST,-,ST
10H30,400-499,05/15/2017,16,1,AutoTheft,1,Commercial Parking Lot or Garage,CHARTRES ST,-,ST
10H30,1300-1399,05/15/2017,22,1,Theft,1,"Road, Street, or Sidewalk",NAGLE,-,-
10H30,2900-2999,05/17/2017,08,1,Theft,1,Driveway,LEELAND,-,-
10H30,1600-1699,05/17/2017,09,1,Burglary,1,Construction Site,BUSCHONG,-,ST
10H30,9700-9799,05/17/2017,10,1,Theft,1,Construction Site,BENT OAK,-,DR
10H30,3500-3599,05/18/2017,08,1,Theft,1,Construction Site,COYLE ST,-,ST
10H30,2000-2099,05/18/2017,21,1,Theft,1,"Road, Street, or Sidewalk",LEELAND,-,-
10H30,2800-2899,05/19/2017,17,1,Theft,1,"Road, Street, or Sidewalk",CAPITOL ST,-,ST
10H30,1700-1799,05/19/2017,22,1,Robbery,1,Service or Gas Station,DOWLING ST,-,ST
10H30,1700-1799,05/20/2017,02,1,Theft,1,Residence or House,ADEN,-,DR
10H30,2100-2199,05/20/2017,13,1,Theft,1,Apartment Parking Lot,TEXAS ST,-,ST
10H30,1100-1199,05/20/2017,19,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS ST,-,ST
10H30,1100-1199,05/20/2017,21,1,AutoTheft,1,"Road, Street, or Sidewalk",HUTCHINS,-,-
10H30,2300-2399,05/21/2017,01,1,Robbery,1,"Road, Street, or Sidewalk",PEASE ST,-,ST
10H30,2700-2799,05/21/2017,09,1,Theft,1,"Road, Street, or Sidewalk",DALLAS ST,-,ST
10H30,2400-2499,05/21/2017,10,1,Theft,1,Garage or Carport,CAPITOL ST,-,ST
10H30,2300-2399,05/21/2017,11,1,Theft,1,"Road, Street, or Sidewalk",DALLAS ST,-,ST
10H30,4600-4699,05/22/2017,17,1,Theft,1,Commercial Parking Lot or Garage,BRADY,-,-
10H30,2000-2099,05/22/2017,13,1,AutoTheft,1,Commercial Parking Lot or Garage,RUSK ST,-,ST
10H30,7700-7799,05/22/2017,14,1,AutoTheft,1,Service or Gas Station,GULF,-,FWY
10H30,1000-1099,05/23/2017,09,1,Theft,1,Vacant Industrial or Manufacturing Blding,HOUTON OAKS,-,DR
10H30,2700-2799,05/23/2017,02,1,Theft,1,"Road, Street, or Sidewalk",CLAY,-,-
10H30,7800-7899,05/23/2017,03,1,Theft,1,Commercial Parking Lot or Garage,DETROIT 11,-,-
10H30,21200-21299,05/23/2017,17,1,Theft,1,Other Parking Lot,ARCADIA PARK,-,LN
10H30,2100-2199,05/23/2017,19,1,AutoTheft,1,Miscellaneous Business (Non-Specific),LAMAR,-,-
10H30,2100-2199,05/24/2017,09,1,Theft,1,Commercial Parking Lot or Garage,CAPITOL ST,-,ST
10H30,2000-2099,05/24/2017,10,1,Theft,1,Garage or Carport,TEXAS ST,-,ST
10H30,600-699,05/24/2017,20,1,Theft,1,Commercial Parking Lot or Garage,SAINT EMANUEL ST,-,ST
10H30,2100-2199,05/25/2017,07,1,Theft,1,Garage or Carport,TEXAS ST,-,ST
10H30,2400-2499,05/26/2017,10,1,Theft,1,Miscellaneous Business (Non-Specific),DALLAS,-,ST
10H30,1000-1099,05/26/2017,01,1,Theft,1,"Road, Street, or Sidewalk",LIVE OAK STREET,-,-
10H30,1500-1599,05/27/2017,14,1,Theft,1,Commercial Parking Lot or Garage,SAINT EMANUEL ST,-,ST
10H30,1500-1599,05/27/2017,16,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,2200-2299,05/27/2017,12,1,Theft,1,"Road, Street, or Sidewalk",POLK,-,-
10H30,2200-2299,05/28/2017,18,1,Theft,1,"Road, Street, or Sidewalk",DALLAS ST,-,ST
10H30,2200-2299,05/28/2017,00,1,AutoTheft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,1000-1099,05/28/2017,02,1,Theft,1,"Road, Street, or Sidewalk",PO BOX 106169,-,-
10H30,3600-3699,05/28/2017,05,1,Burglary,1,Commercial Parking Lot or Garage,GULF,-,FWY
10H30,2000-2099,05/28/2017,09,1,Theft,1,"Road, Street, or Sidewalk",LEELAND,-,-
10H30,1000-1099,05/31/2017,20,1,Theft,1,"Road, Street, or Sidewalk",NAGLE,-,-
10H30,1100-1199,05/31/2017,21,1,Theft,1,Other Parking Lot,DOWLING,-,ST
10H30,400-499,05/31/2017,19,1,Theft,1,"Road, Street, or Sidewalk",ENCHANTED HILLTOP,-,WAY
10H30,10900-10999,05/31/2017,16,1,Theft,1,Apartment,AEROSPACE,-,AVE
10H30,1300-1399,05/31/2017,17,1,Theft,1,Apartment Parking Lot,LIVE OAK,-,-
10H40,2400-2499,05/01/2017,11,1,Theft,1,Other Parking Lot,PO BOX 20089,-,-
10H40,3200-3299,05/01/2017,19,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,4500-4599,05/02/2017,08,1,Theft,1,Light Rail Platform,MAIN ST,-,ST
10H40,3500-3599,05/02/2017,11,1,AutoTheft,1,Driveway,JACKSON ST,-,ST
10H40,2500-2599,05/02/2017,13,1,Theft,1,Other Parking Lot,TRAVIS,-,-
10H40,8900-8999,05/02/2017,14,1,Theft,1,"Road, Street, or Sidewalk",MCCLURE,-,-
10H40,4200-4299,05/02/2017,15,1,Theft,1,Grocery Store or Supermarket,SAN JACINTO,-,ST
10H40,8300-8399,05/03/2017,19,1,Theft,1,Miscellaneous Business (Non-Specific),WINDNESBURY,-,LN
10H40,3300-3399,05/03/2017,20,1,Theft,1,Residence or House,LA BRANCH,-,-
10H40,3200-3299,05/03/2017,17,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,2500-2599,05/03/2017,13,1,Theft,1,"Road, Street, or Sidewalk",CHENEVERT,-,-
10H40,1000-1099,05/03/2017,10,1,Theft,1,"Road, Street, or Sidewalk",HADLEY ST,-,ST
10H40,1000-1099,05/04/2017,00,1,Theft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,500-599,05/04/2017,00,1,Robbery,1,"Road, Street, or Sidewalk",THORNTON,-,RD
10H40,3300-3399,05/04/2017,15,1,Theft,1,Residence or House,CRAWFORD ST,-,ST
10H40,1100-1199,05/05/2017,13,1,AutoTheft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,3400-3499,05/05/2017,09,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,2600-2699,05/05/2017,14,1,Theft,1,Bar or Night Club,TRAVIS,-,-
10H40,2500-2599,05/05/2017,14,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,7000-7099,05/05/2017,14,1,Theft,1,"Road, Street, or Sidewalk",ALLENSBY,-,ST
10H40,4600-4699,05/05/2017,20,1,Theft,1,Apartment,MAIN ST,-,ST
10H40,3100-3199,05/06/2017,00,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,2900-2999,05/06/2017,11,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
